Label,MOA,Adresse_1,Adresse_2,CodePostal,LAT,LON
Cestas,CDC DE CESTAS-CANEJAN,Cestas,,33610,44.76798964,-0.672165255
Arnahurt,CDC DE MONTESQUIEU,ZA de l'Arnahurt,,33650,44.68790264,-0.505791819
Migelan,CDC DE MONTESQUIEU,Route de Mont de Marsan,,33850,44.69732958,-0.603934344
Préchac,CDC DE VILLANDRAUT,La Trave,,33730,44.41018561,-0.348349073
Bazas,CDC DU BAZADAIS,Route de Lerm,,33430,44.41202226,-0.214479596
Virelade,CDC DU CANTON DE PODENSAC,Route de la Barbouze,,33720,44.64345818,-0.424994739
Saint-Symphorien,CDC DU PAYS DE PAROUPIAN,Chemin de Castelnau,,33313,44.43196464,-0.487924341
Belin-Beliet,CDC DU VAL DE L'EYRE,ZAE Sylvia 21 - Entrée 2,,33830,44.52466641,-0.817525728
Le Barp,CDC DU VAL DE L'EYRE,Chemin de la scierie,,31114,44.59668208,-0.757804806
Lugos,CDC DU VAL DE L'EYRE,Piste de l'enfer,,33830,44.48172196,-0.906738389
Saint-Magne,CDC DU VAL DE L'EYRE,Route de Louchats,,33125,44.52281349,-0.634412157
Arsac,CDC MEDOC-ESTUAIRE,Avenue de Lesclauze - Lieu-dit Pas de Monteil,,33460,44.98068113,-0.684448779
Cussac-Fort-Médoc,CDC MEDOC-ESTUAIRE,Lieu-dit Moulin de Bayron,Route de Saint-Laurent,33460,45.12116422,-0.751581965
Castelnau-de-Médoc,CDC MEDULIENNE,Lieu-dit Le Mont Dore,,33480,45.00534621,-0.821632826
Porge,CDC MEDULIENNE,Les Landes de Saumos,,33480,44.88818224,-1.056515105
Andernos-les-Bains,COBAN,ZA CASI - Rue Gustave Eiffel,,33510,44.76641659,-1.071441239
Arès,COBAN,Zones d'Activités - Route du Temple,,33740,44.77704861,-1.120840479
Audenge,COBAN,Zone artisanale,,33980,44.69996347,-0.983403287
Biganos,COBAN,Rue d'Ayguemorte - Lieu dit Bois de Caubet,,33380,44.66300015,-0.96623791
Lanton,COBAN,Route de Blagon,,33138,44.71828709,-1.024084462
Lège Cap Ferret,COBAN,Lieu dit Pont de Bredouille,,33950,44.78436326,-1.167507205
Marcheprime,COBAN,ZA de Réganeau,,33380,44.6858777,-0.863887399
Mios,COBAN,Route de Lescazeilles,,33380,44.63218621,-0.943176656
Arcachon,COBAS,Bd Mestrezat,,33120,44.65188566,-1.14820579
Cazaux,COBAS,27 rue Marie Dufaure,,33260,44.54304038,-1.140253578
Gujan-Mestras,COBAS,Avenue de Césarée,,33470,44.60339116,-1.072712129
La Teste-de-Buch,COBAS,Avenue de l'aérodrome,,33260,44.60311778,-1.12138586
Le Pyla,COBAS,59 av. de Biscarosse,,33260,44.60522706,-1.199160579
Point Vert d'Arcachon,COBAS,Avenue du Parc,,33120,44.65163343,-1.194538009
Teich,COBAS,Avenue F. Mitterand,,33470,44.62094833,-1.02335535
Ambares-et-Lagrave,CUB,Avenue Jules Ferry,,33440,44.93259053,-0.504919549
Ambès,CUB,22 rue jean Mermoz,,33810,45.01009551,-0.538321553
Bassens,CUB,rue Franklin,,33530,44.89591171,-0.525361837
Blanquefort,CUB,Avenue du 11 novembre,,33290,44.9277357,-0.623087478
Bordeaux - Bastide,CUB,Quai Deschamps,,33000,44.83387039,-0.551636109
Bordeaux - Paludate,CUB,Quai de Paludate,,33000,44.82485084,-0.545101077
Bordeaux - Surcouf,CUB,rue Surcouf,ZI Daney,33000,44.87796236,-0.554921645
Bruges,CUB,rue André Sarrau,Sortie 6,33520,44.88921747,-0.620777058
Gradignan,CUB,Allée de Mégévie,,33170,44.77850363,-0.64143225
Mérignac,CUB,90 avenue des Marroniers,,33700,44.8465389,-0.688693848
Pessac - Beutre,CUB,Avenue de Beutre,,33600,44.80234114,-0.686994392
Pessac - Gutemberg,CUB,rue Gutenberg,,33600,44.78637576,-0.647612147
Saint-Médard-en-Jalles,CUB,Avenue de Touban,,33160,44.85719969,-0.715486427
Taillan-Médoc,CUB,route de Saint-Aubin,,33320,44.9080099,-0.704647575
Villenave-d'Ornon,CUB,Chemin de Galgon,,33140,44.78381931,-0.540829681
Martignas,MARTIGNAS-SUR-JALLE,Avenue du Maréchal Leclerc - Route de Magudas,,33127,44.84838266,-0.754358337
Saint-Jean-d'Illac,SAINT-JEAN-D'ILLAC,1341 Avenue de Pierroton,,33127,44.7980627,-0.776314073
Beguey,SEMOCTOM,ZA de Beguey,,33410,44.65236714,-0.335503791
Saint-Caprais,SEMOCTOM,ZI du Limancet,,33880,44.76826366,-0.435533687
Saint-Germain-du-Puch,SEMOCTOM,ZI du Grand Bois Est,,33750,44.83979553,-0.335556247
Saint-Léon,SEMOCTOM,9 route d'Allegret,,33670,44.76635522,-0.285460756
Saint-Loubes,SEMOCTOM,ZI de Lalande,,33450,44.92635788,-0.45473688
Tresses,SEMOCTOM,ZA Inay,,33370,44.83579859,-0.476851881
Langon,SICTOM DU LANGONNAIS,ZA de Dumès rue Marcel Paul,,33210,44.54119502,-0.238100378
Lerm et Musset,SICTOM DU LANGONNAIS,Route de Grignols,,33840,44.33114637,-0.139379542
Floirac,SIVOM DE LA RIVE DROITE,Rue Marcel Paul,,33270,44.82520003,-0.52652018
Pompignac,SIVOM DE LA RIVE DROITE,19 avenue du Périgord,,33370,44.86586856,-0.446337095
Cissac  ,SMICOTOM,205 route Paradis,,33250,45.21586112,-0.836148924
Hourtin        ,SMICOTOM,Garthieu,,33990,45.12725085,-1.044841865
Jau-Dignac,SMICOTOM,9 Chemin Pontac,,33590,45.40762308,-0.967022358
Lacanau,SMICOTOM,1439 chemin Ceinture Talaris,,33680,45.00190189,-1.090528473
Lesparre,SMICOTOM,rue Hourtin,,33340,45.29789796,-0.945179022
