depart,arrivee,niv_depart,niv_arrivee,qte,dist,lat_depart,lon_depart,lat_arrivee,lon_arrivee,co2
CDC DE CAPTIEUX-GRIGNOLS,Centre de transfert de Fargues,0,1,1179,31.6,44.3487985,-0.3900205,44.5322,-0.271783,20.2
CDC DE CESTAS-CANEJAN,Centre de transfert de Pompignac,0,1,6046.84,28.3,44.7572585,-0.6590776,44.864895,-0.447177,18.1
CDC DE MONTESQUIEU,UIOM de Bègles - ASTRIA,0,2,9054.34,33.8,44.6628660286652,-0.564636913081633,44.784434,-0.582964,21.6
CDC DE VILLANDRAUT,Centre de transfert de Fargues,0,1,1011,13.9,44.64958,-0.358691,44.5322,-0.271783,8.9
CDC DU BAZADAIS,Centre de transfert de Fargues,0,1,2430,20.3,44.3487985,-0.477302,44.5322,-0.271783,13
CDC DU CANTON DE PODENSAC,UIOM de Bègles - ASTRIA,0,2,5022.58,40.9,44.5944422153306,-0.41012290840718,44.784434,-0.582964,26.1
CDC DU PAYS DE PAROUPIAN,Centre de transfert de Fargues,0,1,1082,8.3,44.5304218,-0.2503412,44.5322,-0.271783,5.3
CDC DU VAL DE L'EYRE,UIOM de Bègles - ASTRIA,0,2,3923.52,54.2,44.501358,-0.785035,44.784434,-0.582964,34.6
CDC MEDOC-ESTUAIRE,Centre de transfert d'Arsac,0,1,5899.18,0.23,45.0219303129661,-0.674287641212728,44.98273,-0.67535,0.1
CDC MEDULIENNE,Centre de transfert de Castelnau Médoc,0,1,4669,11.4,44.9464362659491,-0.947757416409081,45.030196,-0.793253,7.3
COBAN ATLANTIQUE,UIOM de Bègles - ASTRIA,0,2,8133,55.9,44.716688899524,-0.992999556501932,44.784434,-0.582964,35.7
COBAN ATLANTIQUE,Centre de transfert de Lège Cap Ferret,0,1,12810,9,44.716688899524,-0.992999556501932,44.791486,-1.157641,5.7
COBAS,Centre de transfert de La Teste de Buch,0,1,16918,7,44.5704757398662,-1.12022704719517,44.600006,-1.114143,4.5
CUB,Centre de transfert de Bordeaux- Latule,0,1,69309.29,6.1,44.8778136382074,-0.638971477111379,44.880893,-0.547793,3.9
CUB,Centre de transfert Saint Médard en Jalles - Touban,0,1,9531.69,13.2,44.8778136382074,-0.638971477111379,44.855902,-0.717073,8.4
CUB,UIOM de Bègles - ASTRIA,0,2,63578.5,6.5,44.8778136382074,-0.638971477111379,44.784434,-0.582964,4.2
CUB,UIOM de Cenon,0,2,42907.42,56.4,44.8778136382074,-0.638971477111379,44.584143,-0.090259,36
MARTIGNAS-SUR-JALLE,Centre de transfert de Pompignac,0,1,1595,34,44.7616647555347,-0.771118926769427,44.864895,-0.447177,21.7
SAINT-JEAN-D'ILLAC,Centre de transfert de Pompignac,0,1,1779,35.8,44.811257,-0.782209,44.864895,-0.447177,22.9
SEMOCTOM,Centre de transfert de Saint Léon,0,1,4847,14.8,44.766351,-0.285065,44.768706,-0.276643,9.5
SEMOCTOM,UIOM de Bègles - ASTRIA,0,2,21732,30.2,44.766351,-0.285065,44.784434,-0.582964,19.3
SICTOM DU LANGONNAIS,Centre de transfert de Fargues,0,1,8952,42.2,44.8768788,-0.0072632,44.5322,-0.271783,27
SIVOM DE LA RIVE DROITE,UIOM de Cenon,0,2,3476.08,84.8,46.536812,2.626581,44.584143,-0.090259,54.2
SM DU SAUTERNAIS,Centre de transfert de Fargues,0,1,1028,5.7,44.53446,-0.34321,44.5322,-0.271783,3.6
SMICOTOM,CSDU de Naujac,0,2,19713,3.7,44.766351,-0.285065,45.161715,-0.793891,2.4
SMICTOM DE CASTILLON LA BATAILLE,Centre de transfert de Massugas,0,1,11486.56,20.1,44.852067,-0.043008,44.689669,0.034283,12.8
SMICVAL,Centre de transfert de Saint Girons d'Aiguevives,0,1,18815,45.2,45.000777,-0.15891,45.141174,-0.538476,28.9
SMICVAL,Centre de transfert de Saint Denis de Pile,0,1,32655,4.5,45.000777,-0.15891,44.994033,-0.148963,2.9
USERCTOM DE MONSEGUR,Centre de transfert de Massugas,0,1,6917.8,18.6,44.5581936794618,-0.04315526932374,44.689669,0.034283,11.9
USSGETOM,Centre de transfert de Fargues,0,1,27,38.8,,,44.5322,-0.271783,24.8
Centre de transfert de Pompignac,CSDU de Lapouyade,1,2,6046.84,46.8,44.864895,-0.447177,45.084809,-0.286331,29.9
Centre de transfert d'Arsac,UIOM de Bègles - ASTRIA,1,2,5899.18,42,44.98273,-0.67535,44.784434,-0.582964,26.8
Centre de transfert de Castelnau Médoc,UIOM de Bègles - ASTRIA,1,2,4669,47.8,45.030196,-0.793253,44.784434,-0.582964,30.5
Centre de transfert de Lège Cap Ferret,UIOM de Bègles - ASTRIA,1,2,12810,70.1,44.791486,-1.157641,44.784434,-0.582964,44.8
Centre de transfert de La Teste de Buch,CSDU de Lapouyade,1,2,16918,108,44.600006,-1.114143,45.084809,-0.286331,69
Centre de transfert de Bordeaux- Latule,UIOM de Cenon,1,2,54980.92,56.4,44.880893,-0.547793,44.584143,-0.090259,36
Centre de transfert de Bordeaux- Latule,UIOM de Bègles - ASTRIA,1,2,10157.71,23.8,44.880893,-0.547793,44.784434,-0.582964,15.2
Centre de transfert de Bordeaux- Latule,CSDU de Lapouyade,1,2,4170.66,43.9,44.880893,-0.547793,45.084809,-0.286331,28
Centre de transfert Saint Médard en Jalles - Touban,UIOM de Bègles - ASTRIA,1,2,1390.6,19.7,44.855902,-0.717073,44.784434,-0.582964,12.6
Centre de transfert Saint Médard en Jalles - Touban,UIOM de Cenon,1,2,8141.09,73,44.855902,-0.717073,44.584143,-0.090259,46.6
Centre de transfert de Pompignac,CSDU de Lapouyade,1,2,3374,45,44.864895,-0.447177,45.084809,-0.286331,28.7
Centre de transfert de Saint Léon,UIOM de Bègles - ASTRIA,1,2,4847,34.2,44.768706,-0.276643,44.784434,-0.582964,21.8
Centre de transfert de Saint Girons d'Aiguevives,CSDU de Lapouyade,1,2,18815,24.6,45.141174,-0.538476,45.084809,-0.286331,15.7
Centre de transfert de Saint Denis de Pile,CSDU de Lapouyade,1,,32655,19.2,44.994033,-0.148963,45.084809,-0.286331,12.3
Centre de transfert de Fargues,UIOM de Bègles - ASTRIA,1,2,15709,41.1,44.5322,-0.271783,44.784434,-0.582964,26.3
Centre de transfert de Massugas,CSDU de Lapouyade,1,2,18404.36,66.2,44.689669,0.034283,45.084809,-0.286331,42.3
